Date,Open,High,Low,Close,Volume
2018-05-02,56.69,57.67,52.69,53.11,33905428
2018-05-03,53.04,54.09,51.63,52.69,19858281
2018-05-04,54.37,57.74,53.81,56.26,23633024
2018-05-07,57.53,57.88,55.35,55.42,18888326
2018-05-08,55.07,55.07,54.44,54.51,11173106
2018-05-09,54.16,55.0,53.67,54.16,10160314
2018-05-10,54.65,55.14,54.51,55.07,10025939
2018-05-11,56.12,56.33,55.35,55.98,9076769
2018-05-14,56.69,56.69,55.98,55.98,6449451
2018-05-15,55.98,56.62,55.91,55.91,7220833
2018-05-16,56.4,56.4,55.7,55.77,6215484
2018-05-17,55.98,56.05,54.37,54.58,7272278
2018-05-18,54.72,55.98,54.72,55.21,5081011
2018-05-21,55.42,56.47,55.35,55.98,7042916
2018-05-22,56.26,56.26,55.42,55.42,5977443
2018-05-23,55.42,55.77,55.07,55.07,4136888
2018-05-24,55.28,55.42,54.79,54.79,4720107
2018-05-25,55.07,55.7,54.58,55.42,3465884
2018-05-28,55.42,55.42,54.79,54.86,4222072
2018-05-29,54.86,55.21,54.72,54.79,2951022
2018-05-30,54.16,54.44,52.55,52.83,14277626
2018-05-31,53.11,53.32,52.76,53.32,14426661
2018-06-01,52.9,53.46,52.76,53.32,5744263
2018-06-04,53.32,53.95,53.18,53.88,7866428
2018-06-05,53.74,54.3,53.46,53.88,5882702
2018-06-06,54.02,54.86,53.95,54.44,6719952
2018-06-07,54.79,55.56,54.79,55.0,11469649
2018-06-08,54.72,54.79,54.23,54.37,6106594
2018-06-11,54.44,54.51,53.39,53.39,10303724
2018-06-12,52.9,53.18,52.48,53.04,15104384
2018-06-13,53.04,53.39,52.83,53.04,7792383
2018-06-14,52.62,52.76,52.27,52.27,11536033
2018-06-15,52.27,52.34,51.7,52.2,18409431
2018-06-19,51.56,51.7,50.51,50.58,14943238
2018-06-20,50.44,51.14,49.74,50.58,14841766
2018-06-21,50.72,51.07,50.58,50.93,8254330
2018-06-22,50.23,50.72,50.02,50.72,8179996
2018-06-25,50.3,51.14,50.23,50.79,5165174
2018-06-26,50.44,50.58,49.53,50.16,7477434
2018-06-27,50.37,50.72,49.67,49.67,7939441
2018-06-28,49.6,50.93,49.18,49.74,8849302
2018-06-29,49.74,50.3,49.46,50.23,9363286
2018-07-02,50.09,50.86,49.74,49.74,6062119
2018-07-03,49.74,50.02,48.34,48.76,9674388
2018-07-04,48.76,49.46,48.69,49.11,5267851
2018-07-05,48.83,49.11,48.62,48.83,4993180
2018-07-06,48.83,49.25,47.99,48.27,5883845
2018-07-09,48.62,49.74,48.48,49.11,4449601
2018-07-10,49.67,49.74,48.83,48.83,4510445
2018-07-11,48.55,49.11,48.34,48.69,5531492
2018-07-12,48.48,50.37,48.48,49.6,7576597
2018-07-13,49.95,50.79,49.74,50.58,7078101
2018-07-16,50.58,50.79,49.88,49.88,3615742
2018-07-17,50.23,50.3,49.6,50.09,5781581
2018-07-18,50.51,51.56,50.37,50.93,9009402
2018-07-19,51.21,51.63,50.72,50.72,6085449
2018-07-20,51.21,51.7,48.97,49.53,12786355
2018-07-23,49.25,49.88,48.97,49.11,10378691
2018-07-24,48.97,49.6,48.97,49.6,6021007
2018-07-25,49.67,49.74,49.25,49.25,7396659
2018-07-26,49.6,50.37,49.32,49.95,7100580
2018-07-27,50.3,52.41,49.95,52.34,12436150
2018-07-30,55.0,55.56,54.58,55.07,23894677
2018-07-31,54.58,55.0,53.67,55.0,20663255
2018-08-01,54.51,54.86,54.37,54.72,8898527
2018-08-02,54.65,55.0,53.6,53.74,8164868
2018-08-03,53.88,54.3,53.88,54.23,3831077
2018-08-06,54.3,54.72,54.02,54.44,4101322
2018-08-07,54.51,54.65,54.23,54.3,8962734
2018-08-08,54.37,55.07,54.37,55.0,7762568
2018-08-09,54.93,55.21,54.37,55.07,7693769
2018-08-10,55.07,55.58,55.07,55.58,5847589
2018-08-13,55.43,55.43,52.97,54.06,9213754
2018-08-14,54.06,54.35,53.62,54.27,6721371
2018-08-15,53.98,54.06,52.75,52.97,8545091
2018-08-16,52.32,53.55,52.25,52.97,4850031
2018-08-17,53.33,53.55,53.04,53.41,2901826
2018-08-20,52.97,53.55,52.68,53.04,5005124
2018-08-21,53.26,53.55,52.9,52.9,3486058
2018-08-22,52.97,53.62,52.97,53.62,3607009
2018-08-23,53.55,53.98,52.97,53.55,4213575
2018-08-24,53.12,53.33,52.83,53.12,3195816
2018-08-27,53.48,53.48,52.9,52.97,2001469
2018-08-28,53.12,53.77,53.04,53.55,3580083
2018-08-29,53.55,54.2,53.55,54.2,3995845
