Date,Open,High,Low,Close,Volume
2002-03-12,94.16,94.16,94.16,94.16,1000
2002-03-13,100.59,100.59,100.59,100.59,1000
2002-03-14,107.44,107.44,107.44,107.44,1000
2002-03-15,108.24,114.68,108.24,114.68,6000
2002-03-18,122.32,122.32,122.32,122.32,179000
2002-03-19,128.36,128.36,117.49,117.49,4900170
2002-03-20,115.48,121.92,109.85,120.31,2338900
2002-03-21,117.49,124.74,117.49,122.32,1318000
2002-03-22,124.74,130.37,123.13,123.93,1756496
2002-03-25,124.34,126.75,122.73,123.13,993154
2002-03-26,122.32,127.15,121.12,125.54,1357359
2002-03-27,126.75,126.75,118.3,121.12,1342285
2002-03-28,121.12,121.12,117.49,118.3,883322
2002-03-29,118.7,120.31,115.89,117.09,1181654
2002-04-01,117.49,117.49,114.68,114.68,394000
2002-04-02,114.68,118.7,114.68,116.29,421800
2002-04-03,116.29,116.69,112.26,112.67,496900
2002-04-04,112.26,112.67,106.23,108.64,789600
2002-04-08,104.62,110.65,104.62,110.25,374600
2002-04-09,109.85,109.85,107.84,107.84,206198
2002-04-10,107.84,110.65,107.44,110.65,176516
2002-04-11,112.67,114.68,111.86,114.28,368549
2002-04-12,113.47,116.69,111.46,116.69,303053
2002-04-15,114.68,115.08,109.45,109.45,462500
2002-04-16,109.85,113.07,109.45,111.06,449469
2002-04-17,112.67,113.47,110.65,110.65,186600
2002-04-18,110.65,111.86,106.63,107.44,470250
2002-04-19,108.64,111.86,108.24,110.65,369100
2002-04-22,111.46,111.46,108.24,108.64,160000
2002-04-23,108.64,115.08,108.64,112.67,454440
2002-04-24,114.28,114.68,112.67,113.87,222000
2002-04-25,112.67,112.67,110.65,110.65,96000
2002-04-26,112.67,112.67,110.65,111.06,100000
2002-04-29,110.65,112.67,110.25,111.06,85187
2002-04-30,110.65,112.67,109.45,111.86,188060
2002-05-02,112.67,119.51,111.06,113.07,792200
2002-05-03,113.07,116.29,112.67,115.08,357199
2002-05-06,114.28,114.28,107.84,108.24,285276
2002-05-07,108.24,115.48,108.24,115.48,761000
2002-05-08,118.7,121.52,116.69,120.71,1922124
2002-05-09,124.34,124.74,117.49,120.71,782538
2002-05-10,120.71,122.73,117.09,122.32,322042
2002-05-13,120.71,121.12,119.1,119.51,160070
